id,account_id,branded_content_sponsor_account_id,message,title,platform,platform_id,post_url,subscriber_count,type,updated,video_length_ms,image_text,legacy_id,caption,link,date,description,score,live_video_status,last_modified_time,message_sha256_hash,language_code,post_id
81511|5292218230871883,81511,,"Оксана Муха, українська співачка, розповіла в інтерв'ю Еспресо про гастролі в Маріуполі перед повномасштабним вторгненням, волонтерство, побут українських біженців в Італії, свого зіркового тренера з ""Голосу країни"" Дана Балана, російськомовність в Україні, внутрішніх переселенців та про безапеляційність до ворога.",,Facebook,542283352532085_5292218230871883,https://www.facebook.com/542283352532085/posts/5292218230871883,,native_video,2022-06-28 00:09:23-04,1674517,,,,https://www.facebook.com/espreso.tv/videos/623580748630315/,2022-06-25 00:00:00-04,,1.7377049180327868,,2022-06-28 03:47:43.672811-04,fa5d0969f62049d4fbe24e785cbd8cdaaf25c39f8ddc7a339e117223d9fff291,,81511|5292218230871883
804357|1768357306828992,804357,,"Внезапный уход Юрия Шатунова стал большим горем для всех. Тем не менее это трудно сопоставить с тем, каково сейчас родным артиста — супруге Светлане и детям Дэннису и Эстелле.",Не сдержал слёз: 15-летний красавец-сын Юрия Шатунова засветился на похоронах отца,Facebook,250476078617130_1768357306828992,https://www.facebook.com/250476078617130/posts/1768357306828992,,link,2022-07-03 01:10:28-04,,,,ofigeno.net,https://ofigeno.net/ne-sderzhal-slyoz-15-letnij-krasavec-syn-yuriya-shatunova-zasvetilsya-na-poxoronax-otca/,2022-06-30 00:00:00-04,"Внезапный уход Юрия Шатунова стал большим горем для всех. Тем не менее это трудно сопоставить с тем, каково сейчас родным артиста — супруге Светлане и детям Дэннис....",3.58974358974359,,2022-07-03 03:48:48.860108-04,86cb51415f67e3e8e18988d68d6578c8f5acf4243422bf2baf5e9666209d11eb,,804357|1768357306828992
14902173|1236552980425562,14902173,,Як купити авто в Польщі через сайти та не стати жертвою шахраїв,Як купити авто в Польщі через сайти та не стати жертвою шахраїв - LvivNEWS,Facebook,141517969929074_1236552980425562,https://www.facebook.com/141517969929074/posts/1236552980425562,,link,2022-06-21 03:06:15-04,,,,news.lviv-company.in.ua,https://news.lviv-company.in.ua/yak-kupiti-avto-v-polshhi-cherez-sajti-ta-ne-stati-zhertvoyu-shaxra%d1%97v.html,2022-06-19 00:00:00-04,"Купити авто в Польщі місцевому та іноземцю не так важко, як може здатися на перший погляд: ціни раду",-32,,2022-06-21 03:22:17.544349-04,7ae7fdb0c1ad3580f0a8f4be19954e4c988f623bf43f792fe6d446339edf81b7,,14902173|1236552980425562
8453516|1908291062696238,8453516,,,,Facebook,532751176916907_1908291062696238,https://www.facebook.com/532751176916907/posts/1908291062696238,,photo,2022-07-10 13:59:12-04,,,,,https://www.facebook.com/hardnews.mnMGL/photos/a.669011889936897/2043347679169971/?type=3,2022-07-09 00:00:00-04,"МУГЖ А.Цэгмэд ийн бичжээ. 

ДАРУУХАН зан  нь даанч дэндүү найзыгаа энэ удаад ч бас гавъяат авна гэж цамцных нь  захыг  мушгиад суугаа минь бас л  талаар боллоо. 30 жил СУИС-д багшлахын зэрэгцээ одоо ч   дуугаа дуулаад клипээ  хийгээд кинонууддаа тоглоод их хэрэгтэй   олон олон шавь нар нь од гавъяат байтал миний найзын ЭНГЭР  ТӨРД ЦООЛОГДОХГҮЙ байгаад байх  тусам бид хоёрыг ард  түмэн  андуураад  л. Нэг хүний энгэрийг олон цоолж байхаар   миний найзын энгэрийг цолоор цоолоод өгөөч. Төр минь гэж   өчсү",1.0666666666666667,,2022-07-11 03:07:02.870231-04,,,8453516|1908291062696238
11700000|2629737613827241,11700000,,"Vesti.mk - Не губи време, сите вести на едно место",ХИТ КОСТИМ ЗА КАПЕЊЕ – Дали би го носеле?!,Facebook,441462862654738_2629737613827241,https://www.facebook.com/441462862654738/posts/2629737613827241,,link,2022-06-27 07:51:04-04,,,,vesti.mk,https://www.vesti.mk/article/62b60c98075b2192ca2166f7,2022-06-25 00:00:00-04,"Секоја нова летна сезона ни носи нова потрага по популарни костими за капење, во кои многу жени неизмерно уживаат. Покрај големиот избор на типови, форми, дизајни и ....",-22,,2022-06-28 04:42:36.737247-04,0160724508354fc3872f92596288e694a1e69cf20abea3d93805ed8106f7875f,,11700000|2629737613827241
373012|5099634786764872,373012,,"Заспокійливе на ніч від Арестовича. Радник керівника ОП розповів, коли закінчиться війна","У 2019 році Арестович передбачив війну РФ проти України, а тепер повідомив, коли вона закінчиться",Facebook,112821225446278_5099634786764872,https://www.facebook.com/112821225446278/posts/5099634786764872,,link,2022-03-14 22:26:31-04,,,,unian.ua,https://www.unian.ua/war/u-2019-roci-arestovich-peredbachiv-viynu-rf-proti-ukrajini-a-teper-povidomiv-koli-vona-zakinchitsya-novini-vtorgnennya-rosiji-v-ukrajinu-11741254.html,2022-03-12 00:00:00-05,Тепер буде ще більше приводів довіряти раднику керівника Офісу президента України.,2.0786516853932584,,2022-03-15 01:05:48.565998-04,53924b2fe908eaa20d801665f81fd6c7d6d0a3669d86e60ae616e41fcf89ef38,,373012|5099634786764872
16053411|5115841565130876,16053411,,"Соль, перец и лимон могут решить эти 9 проблем лучше любого лекарства!","Соль, перец и лимон могут решить эти 9 проблем лучше любого лекарства!",Facebook,1446147122100357_5115841565130876,https://www.facebook.com/1446147122100357/posts/5115841565130876,,link,2022-07-02 02:15:45-04,,,,topfakty.com,https://www.topfakty.com/sol-perets-i-limon-mogut-reshit-eti-9-problem-luchshe-lyubogo-lekarstva-2/?preview=true,2022-06-29 00:00:00-04,"Лимон с солью и приправами — в таком сочетании эти продукты помогут не только вылечить простудные заболевания, но и сбросить лишние килограммы. А мы научим вас, как...",-0.9166666666666666,,2022-07-02 04:07:22.890369-04,4d4de07608b2c1af870d4afa9e71f6508ba090175271fe05cc9b86673f1d5b9a,,16053411|5115841565130876
1379093|5389561681065525,1379093,,"Акція ""Маленькі українці – Великим героям!"" триває і ви вже надіслали нам багато чудових робіт. Дякуємо вам! А ящик морозива цього тижня отримують: - Дмитро, 11 років, місто Краматорськ - Анастасія, 10 років, місто Запоріжжя - Ангеліна, 8 років, місто Хмельницький - Полина, 13 років, місто Київ - Полінка, 12 років, місто Миронівка Заходьте на наш сайт та відправляйте нам фото малюнків, фото сувенірів, будь-чого, що роблять ваші діти своїми руками для підтримки військових. Щоп'ятниці о 18:20 ми будемо визначати переможця, який отримає ящик морозива! Реєструйтесь тут: https://www.kissfm.ua/actions/264/ Партнер проєкту – морозиво «Хрещатик». Відбірний пломбірний!",,Facebook,131990913489321_5389561681065525,https://www.facebook.com/131990913489321/posts/5389561681065525,,photo,2022-07-03 23:44:47-04,,,,,https://www.facebook.com/kissfmua/photos/a.141634302524982/5389555011066192/?type=3,2022-07-01 00:00:00-04,,-1.2790697674418605,,2022-07-04 03:34:00.609865-04,0e66cff76152f51e8825f13c492d46f7064a545b5611eef4db7345d2dc1f8af2,,1379093|5389561681065525
525542|5747553071925972,525542,,"Лукашенко заявив, що вважає неприпустимим застосування ядерної зброї — але не може сказати, чи має росія такі плани.",Лукашенко: Застосування ядерної зброї абсолютно неприпустиме,Facebook,114351485246187_5747553071925972,https://www.facebook.com/114351485246187/posts/5747553071925972,,link,2022-05-07 21:48:22-04,,,,pravda.com.ua,https://www.pravda.com.ua/news/2022/05/5/7344209/,2022-05-05 00:00:00-04,"Самопроголошений президент Білорусі Олександр Лукашенко вважає неприпустимим застосування ядерної зброї, але не може сказати, чи має Росія такі плани.",-2.1842105263157894,,2022-05-08 01:05:51.199329-04,12e74efc9307b336d2a0648f526e4ba6e4383123d96722c62ecec3269bd54d0f,,525542|5747553071925972
5628218|3018821521597297,5628218,,"Єремiя 7 1 Слово, що було до Єремії від Господа, говорячи: 2 Стань у брамі Господнього дому, і прокажеш там слово оце та промовиш: Послухайте слово Господнє, ввесь Юдо, що ходите брамами цими вклонятися Господу. 3 Так говорить Господь Саваот, Бог Ізраїлів: Поправте дороги свої й свої вчинки, й Я зроблю, що ви житимете на цім місці! 4 Не надійтесь собі на слова неправдиві, щоб казати: Храм Господній, храм Господній, храм Господній отут! 5 Бо якщо ви насправді поправите ваші дороги та ваші діла, якщо один одному будете справді чинити справедливо, 6 не будете тиснути чужинця, сироту та вдову, не будете лити невинної крови на місці цьому, і за іншими богами вслід не підете собі на біду, 7 то зроблю, що ви пробуватимете на цім місці, у Краю, що його дав Я вашим батькам відвіку навіки! 8 Ось собі ви надієтеся на слова неправдиві, які не допоможуть: 9 Чи ви будете красти, вбивати й перелюб чинити, і присягати фальшиво, й кадити Ваалові, і ходити за іншими богами, яких ви не знаєте, 10 а потім ви прийдете й станете перед обличчям Моїм у цім домі, що зветься Ім'ям Моїм, і скажете: Урятовані ми, щоб чинити гидоти всі ці? 11 Чи вертепом розбійників став оцей дім, що Ім'я Моє кличеться в ньому, на ваших очах? І Я оце бачу, говорить Господь... 12 Бо підіть но до місця Мого, що в Шіло, де Я спочатку вчинив був перебування для Ймення Свого, і побачите, що вчинив Я йому через лукавство Мого народу Ізраїлевого... 13 Тепер же за те, що ви робите всі оці вчинки, говорить Господь, і що Я говорив був до вас, промовляючи пильно, але ви не слухали, і кликав Я вас, та ви не відказали, 14 то зроблю цьому домові, що кликалось в ньому Ім'я Моє, що на нього надієтесь ви, і місцю цьому, що Я дав його вам та вашим батькам, так само, як Я був зробив для Шіло, 15 і відкину Я вас від обличчя Свого, як відкинув усіх ваших братів, усе насіння Єфремове!... 16 А ти не молись за народ цей, і благання й молитви за них не здіймай, і Мене не проси, бо не вислухаю Я тебе! 17 Хіба ти не бачиш, що роблять вони в містах Юдиних та на вулицях Єрусалиму: 18 Діти дрова збирають, а батьки розкладають огонь, жінки ж місять тісто, щоб спекти калачів тих жертовних небесній цариці, і ллють литі жертви для інших богів, на досаду Мені... 19 Та хіба ображають Мене, говорить Господь? Хіба не себе самих, щоб сором покрив їхні обличчя? 20 Тому Господь Бог промовляє отак: Ось ллється Мій гнів і Моя лють на це місце, на людину й худобу, і на польові дерева та на земні плоди, і палатиме він, і не згасне! 21 Так говорить Господь Саваот, Бог Ізраїлів: Додайте свої цілопалення до жертов ваших, і їжте м'ясо, 22 бо Я не говорив батькам вашим, і не наказував їм того дня, як виводив їх із краю єгипетського, про справи цілопалення й жертви. 23 Бо лиш справу оцю Я звелів їм, говорячи: Слухайтеся Мого голосу, і Я буду вам Богом, а ви будете народом Моїм, і ходіть усією дорогою, про яку накажу вам, щоб вам було добре. 24 Та не слухали й не нахилили вони свого вуха, а ходили за радами та за упертістю серця лихого свого, і стали до Мене плечима, а не обличчям. 25 Від того дня, коли ваші батьки вийшли з краю єгипетського, аж до дня цього, посилав Я до вас усіх Своїх рабів пророків, посилав щодня пильно. 26 Та вони не слухалися Мене, і вуха свого не схиляли, і показали себе твердошийними, зло чинили ще більш від батьків своїх... 27 І ти будеш казати їм ці всі слова, та не будуть вони тебе слухати, і будеш ти кликати до них, та вони тобі відповіді не дадуть... 28 І скажеш до них: Оце той народ, що не слухався голосу Господа, Бога свого, і поуки не брав, загинула правда, і зникла з їхніх уст... 29 Обстрижи ти волосся своє та й відкинь, на лисих горах здійми жалісний спів, бо відкинув Господь і покинув плем'я Свого гніву! 30 Бо Юдині сини чинять зло в Моїх очах, говорить Господь, поклали гидоти свої в тому домі, що в нім кликалося Моє Ймення, щоб збезчестити його... 31 І побудували ті жертовні пагірки Тофета, що в долині Бен-Гіннома, щоб палити синів своїх та дочок своїх на огні, чого Я не наказував, і що на серце Мені не приходило... 32 Тому то приходять ось дні, говорить Господь, що не буде вже кликатись Тофет місце це чи Долина Бен-Гіннома, а тільки Долина вбивства, і будуть ховати у Тофеті через брак місця на погреб. 33 І стане труп цього народу за стерво небесному птаству та земній звірині, і не буде, хто б їх відстрашив!... 34 І спиню в містах Юдиних та на вулицях Єрусалиму голос радісний і голос веселий, голос молодого та голос молодої, бо руїною стане цей Край!",,Facebook,442027135943428_3018821521597297,https://www.facebook.com/442027135943428/posts/3018821521597297,,photo,2022-07-06 23:01:35-04,,,,,https://www.facebook.com/isus.doroga.istyna.i.zhyttya/photos/a.442032399276235/3018821111597338/?type=3,2022-07-04 00:00:00-04,,-7.782608695652174,,2022-07-07 05:19:26.393585-04,f27361e96c6bc430ccd80107582b1211e522917c546b4fe91684f476905f2872,,5628218|3018821521597297
